observation_date,NGDPRSAXDCBRQ
1996-01-01,175440.8
1996-04-01,177662.7
1996-07-01,183826.3
1996-10-01,182461.8
1997-01-01,184299.6
1997-04-01,185327.3
1997-07-01,187324.9
1997-10-01,189244.8
1998-01-01,185502.3
1998-04-01,188521.3
1998-07-01,188361.6
1998-10-01,186470.4
1999-01-01,186768.6
1999-04-01,187538.1
1999-07-01,187737.5
1999-10-01,190316.4
2000-01-01,192382.2
2000-04-01,194948.4
2000-07-01,197616.2
2000-10-01,199860.6
2001-01-01,200333.4
2001-04-01,199596.3
2001-07-01,198723.6
2001-10-01,197778.9
2002-01-01,202806.0
2002-04-01,203528.8
2002-07-01,206081.9
2002-10-01,208099.9
2003-01-01,207420.2
2003-04-01,205691.2
2003-07-01,207427.8
2003-10-01,209570.5
2004-01-01,212685.3
2004-04-01,218409.4
2004-07-01,221137.2
2004-10-01,222933.2
2005-01-01,224803.6
2005-04-01,227275.5
2005-07-01,225929.8
2005-10-01,229039.5
2006-01-01,232280.8
2006-04-01,233279.3
2006-07-01,237171.1
2006-10-01,240111.2
2007-01-01,244271.1
2007-04-01,248568.7
2007-07-01,251123.5
2007-10-01,254789.7
2008-01-01,258183.2
2008-04-01,263471.8
2008-07-01,267429.2
2008-10-01,257451.0
2009-01-01,254016.2
2009-04-01,258495.5
2009-07-01,264587.0
2009-10-01,271221.6
2010-01-01,277058.0
2010-04-01,280526.4
2010-07-01,283008.4
2010-10-01,286889.2
2011-01-01,291079.3
2011-04-01,293668.1
2011-07-01,293184.2
2011-10-01,295921.2
2012-01-01,291820.6
2012-04-01,296811.4
2012-07-01,301970.9
2012-10-01,302185.4
2013-01-01,303651.2
2013-04-01,308024.2
2013-07-01,309307.9
2013-10-01,309884.4
2014-01-01,312187.3
2014-04-01,308093.5
2014-07-01,307793.8
2014-10-01,309139.6
2015-01-01,306622.6
2015-04-01,299663.6
2015-07-01,294978.5
2015-10-01,292125.6
2016-01-01,288133.1
2016-04-01,288998.0
2016-07-01,287538.0
2016-10-01,287260.5
2017-01-01,290048.0
2017-04-01,292337.0
2017-07-01,293276.8
2017-10-01,295014.4
2018-01-01,296401.2
2018-04-01,296335.9
2018-07-01,298981.5
2018-10-01,298397.4
2019-01-01,299236.1
2019-04-01,301031.6
2019-07-01,300915.0
2019-10-01,303392.1
2020-01-01,296699.2
2020-04-01,270498.2
2020-07-01,291796.8
2020-10-01,302626.3
2021-01-01,305600.5
2021-04-01,303662.2
2021-07-01,304003.3
2021-10-01,307631.3
2022-01-01,310259.4
2022-04-01,313773.9
2022-07-01,316729.7
2022-10-01,318379.2
2023-01-01,322734.5
2023-04-01,325098.8
2023-07-01,325382.4
2023-10-01,326670.9
2024-01-01,329888.6
2024-04-01,334229.6
2024-07-01,336725.8
2024-10-01,337306.9
