typeCode;freqCode;refPeriodId;refYear;refMonth;period;reporterCode;reporterISO;reporterDesc;flowCode;flowDesc;partnerCode;partnerISO;partnerDesc;partner2Code;partner2ISO;partner2Desc;classificationCode;classificationSearchCode;isOriginalClassification;cmdCode;cmdDesc;aggrLevel;isLeaf;customsCode;customsDesc;mosCode;motCode;motDesc;qtyUnitCode;qtyUnitAbbr;qty;isQtyEstimated;altQtyUnitCode;altQtyUnitAbbr;altQty;isAltQtyEstimated;netWgt;isNetWgtEstimated;grossWgt;isGrossWgtEstimated;cifvalue;fobvalue;primaryValue;legacyEstimationFlag;isReported;isAggregate
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;02;Meat and edible meat offal;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;2073878426.0;2073878426.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;47;"Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;767696814.0;767696814.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;50;Silk;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;276710.0;276710.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;46;"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;30496.0;30496.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;03;Fish and crustaceans, molluscs and other aquatic invertebrates;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;26353723.0;26353723.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;999999;Commodities not specified according to kind;6;True;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;618628.0;618628.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;66;"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;32347.0;32347.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;53;"Vegetable textile fibres; paper yarn and woven fabrics of paper yarn";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;5587352.0;5587352.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;41;Raw hides and skins (other than furskins) and leather;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;97746855.0;97746855.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;80;"Tin; articles thereof";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;19582470.0;19582470.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;23;"Food industries, residues and wastes thereof; prepared animal fodder";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;False;0.0;False;;672722353.0;672722353.0;0;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;31;Fertilizers;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;21648163.0;21648163.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;26;Ores, slag and ash;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;2027724184.0;2027724184.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;33;"Essential oils and resinoids; perfumery, cosmetic or toilet preparations";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;101867334.0;101867334.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;35;"Albuminoidal substances; modified starches; glues; enzymes";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;62545753.0;62545753.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;13;"Lac; gums, resins and other vegetable saps and extracts";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;15417751.0;15417751.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;79;Zinc and articles thereof;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;22824127.0;22824127.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;12;"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;2623657240.0;2623657240.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;97;"Works of art; collectors' pieces and antiques";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;14262891.0;14262891.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;62;"Apparel and clothing accessories; not knitted or crocheted";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;5084583.0;5084583.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;07;"Vegetables and certain roots and tubers; edible";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;16303298.0;16303298.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;68;"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;111315848.0;111315848.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;45;Cork and articles of cork;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;65769.0;65769.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;93;"Arms and ammunition; parts and accessories thereof";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;16481971.0;16481971.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;28;"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;462211877.0;462211877.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;15;"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;178752413.0;178752413.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;14;"Vegetable plaiting materials; vegetable products not elsewhere specified or included";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;1136671.0;1136671.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;86;"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;4004486.0;4004486.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;48;"Paper and paperboard; articles of paper pulp, of paper or paperboard";2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;190780249.0;190780249.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;88;Aircraft, spacecraft, and parts thereof;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;168586770.0;168586770.0;4;False;True
C;M;20250201;2025;2;202502;76;BRA;Brazil;X;Export;0;W00;World;0;W00;World;H6;HS;True;39;Plastics and articles thereof;2;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;N/A;0.0;False;-1;N/A;0.0;False;0.0;True;0.0;False;;265602078.0;265602078.0;4;False;True
