SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
199001;916.000.000.000.000.000;;1.051.000.000.000.000.000
199002;932.000.000.000.000.000;;1.055.000.000.000.000.000
199003;927.000.000.000.000.000;;1.060.000.000.000.000.000
199004;931.000.000.000.000.000;;1.068.000.000.000.000.000
199005;933.000.000.000.000.000;;1.056.000.000.000.000.000
199006;919.000.000.000.000.000;;1.046.000.000.000.000.000
199007;921.000.000.000.000.000;;1.049.000.000.000.000.000
199008;914.000.000.000.000.000;;1.058.000.000.000.000.000
199009;922.000.000.000.000.000;;1.057.000.000.000.000.000
199010;919.000.000.000.000.000;;1.051.000.000.000.000.000
199011;909.000.000.000.000.000;;1.036.000.000.000.000.000
199012;919.000.000.000.000.000;;1.052.000.000.000.000.000
199101;932.000.000.000.000.000;818.000.000.000.000.000;1.059.000.000.000.000.000
199102;928.000.000.000.000.000;809.000.000.000.000.000;1.039.000.000.000.000.000
199103;916.000.000.000.000.000;802.000.000.000.000.000;1.034.000.000.000.000.000
199104;917.000.000.000.000.000;795.000.000.000.000.000;1.024.000.000.000.000.000
199105;918.000.000.000.000.000;787.000.000.000.000.000;1.036.000.000.000.000.000
199106;921.000.000.000.000.000;816.000.000.000.000.000;1.039.000.000.000.000.000
199107;906.000.000.000.000.000;790.000.000.000.000.000;1.040.000.000.000.000.000
199108;916.000.000.000.000.000;782.000.000.000.000.000;1.046.000.000.000.000.000
199109;919.000.000.000.000.000;779.000.000.000.000.000;1.058.000.000.000.000.000
199110;915.000.000.000.000.000;791.000.000.000.000.000;1.050.000.000.000.000.000
199111;929.000.000.000.000.000;800.000.000.000.000.000;1.055.000.000.000.000.000
199112;921.000.000.000.000.000;798.000.000.000.000.000;1.042.000.000.000.000.000
199201;924.000.000.000.000.000;811.000.000.000.000.000;1.049.000.000.000.000.000
199202;917.000.000.000.000.000;819.000.000.000.000.000;1.049.000.000.000.000.000
199203;926.000.000.000.000.000;800.000.000.000.000.000;1.048.000.000.000.000.000
199204;919.000.000.000.000.000;799.000.000.000.000.000;1.051.000.000.000.000.000
199205;919.000.000.000.000.000;790.000.000.000.000.000;1.048.000.000.000.000.000
199206;909.000.000.000.000.000;782.000.000.000.000.000;1.046.000.000.000.000.000
199207;905.000.000.000.000.000;765.000.000.000.000.000;1.033.000.000.000.000.000
199208;908.000.000.000.000.000;772.000.000.000.000.000;1.016.000.000.000.000.000
199209;895.000.000.000.000.000;765.000.000.000.000.000;1.007.000.000.000.000.000
199210;905.000.000.000.000.000;764.000.000.000.000.000;1.014.000.000.000.000.000
199211;893.000.000.000.000.000;752.000.000.000.000.000;1.020.000.000.000.000.000
199212;881.000.000.000.000.000;738.000.000.000.000.000;1.003.000.000.000.000.000
199301;879.000.000.000.000.000;737.000.000.000.000.000;1.020.000.000.000.000.000
199302;881.000.000.000.000.000;725.000.000.000.000.000;1.018.000.000.000.000.000
199303;877.000.000.000.000.000;724.000.000.000.000.000;1.014.000.000.000.000.000
199304;871.000.000.000.000.000;718.000.000.000.000.000;1.012.000.000.000.000.000
