family,p_dy,q_dx,ect_lags,var_lags,bic,aic,lb_fail,nobs,score
LEGACY-GRID,,1,2,1,-602.076782815991,-633.0963925600379,3,98,-587.076782815991
LEGACY-GRID,,2,2,2,-584.0998934023743,-625.2952690584284,0,97,-584.0998934023743
LEGACY-GRID,,1,3,1,-592.2536716377501,-625.7249143582941,2,97,-582.2536716377501
LEGACY-GRID,,1,1,1,-599.916301326,-628.3509435913763,4,98,-579.916301326
LEGACY-GRID,,2,3,2,-579.7109059310956,-623.4809925656531,0,97,-579.7109059310956
LEGACY-GRID,,3,2,3,-563.7148197269579,-615.0017835563146,0,96,-563.7148197269579
LEGACY-GRID,,3,3,3,-561.1284004754825,-614.9797124963071,0,96,-561.1284004754825
LEGACY-GRID,,2,1,2,-577.2481449423209,-615.8688096198716,4,97,-557.2481449423209
LEGACY-GRID,,3,1,3,-555.1002731416114,-603.8228887795003,4,96,-535.1002731416114
ARDL-ECM,0.0,0,1,0,-524.6806681378462,-542.8465070887883,0,99,-524.6806681378462
LEGACY-GRID,,0,1,0,-524.6806681378462,-542.8465070887883,0,99,-524.6806681378462
ARDL-ECM,1.0,0,1,0,-514.4159978790473,-535.0957377084119,0,98,-514.4159978790473
ECT-lags,0.0,0,2,0,-513.9868303978318,-534.6665702271964,0,98,-513.9868303978318
LEGACY-GRID,,0,2,0,-513.9868303978318,-534.6665702271964,0,98,-513.9868303978318
ECT-lags,1.0,0,2,0,-509.9140123053622,-533.1787196133973,0,98,-509.9140123053622
ARDL-ECM,0.0,1,1,1,-509.73995568227,-533.0046629903052,0,98,-509.73995568227
ARDL-ECM,2.0,0,1,0,-509.1587499283086,-532.3311487348391,0,97,-509.1587499283086
ECT-lags,0.0,1,2,1,-505.453140532888,-531.3028153195937,0,98,-505.453140532888
ARDL-ECM,1.0,1,1,1,-505.4531405328878,-531.3028153195935,0,98,-505.4531405328878
ECT-lags,1.0,1,2,1,-505.4531405328876,-531.3028153195933,0,98,-505.4531405328876
LEGACY-GRID,,0,3,0,-504.0538472854907,-527.2262460920211,0,97,-504.0538472854907
ARDL-ECM,2.0,1,1,1,-500.25770926709293,-528.5795300306302,0,97,-500.25770926709293
ARDL-ECM,0.0,2,1,2,-494.75903164685104,-523.0808524103883,0,97,-494.75903164685104
ARDL-ECM,2.0,2,1,2,-491.40272171885476,-524.8739644393987,0,97,-491.40272171885476
ECT-lags,0.0,2,2,2,-490.5130726621203,-521.4096044041609,0,97,-490.5130726621203
ARDL-ECM,1.0,2,1,2,-490.51307266211995,-521.4096044041605,0,97,-490.51307266211995
ECT-lags,1.0,2,2,2,-490.5130726621197,-521.4096044041603,0,97,-490.5130726621197
