family,p_dy,q_dx,ect_lags,var_lags,bic,aic,lb_fail,nobs,score_bic,stable
LEGACY-GRID,1,1,1,1,-602.0767828159946,-633.0963925600415,3,98,-587.0767828159946,False
LEGACY-GRID,1,1,2,1,-602.0767828159946,-633.0963925600415,3,98,-587.0767828159946,False
LEGACY-GRID,0,1,2,1,-602.076782815991,-633.0963925600379,3,98,-587.076782815991,False
LEGACY-GRID,1,2,2,2,-584.0998934023833,-625.2952690584374,0,97,-584.0998934023833,False
LEGACY-GRID,1,2,1,2,-584.0998934023819,-625.295269058436,0,97,-584.0998934023819,False
LEGACY-GRID,0,2,2,2,-584.0998934023743,-625.2952690584284,0,97,-584.0998934023743,False
LEGACY-GRID,1,1,3,1,-592.2536716377551,-625.7249143582991,2,97,-582.2536716377551,False
LEGACY-GRID,0,1,3,1,-592.2536716377501,-625.7249143582941,2,97,-582.2536716377501,False
LEGACY-GRID,2,1,1,1,-590.9265896285808,-624.3978323491248,2,97,-580.9265896285808,False
LEGACY-GRID,2,1,2,1,-590.9265896285807,-624.3978323491247,2,97,-580.9265896285807,False
LEGACY-GRID,0,1,1,1,-599.916301326,-628.3509435913763,4,98,-579.916301326,False
LEGACY-GRID,2,2,2,2,-579.710905931104,-623.4809925656615,0,97,-579.710905931104,False
LEGACY-GRID,2,2,3,2,-579.7109059311039,-623.4809925656614,0,97,-579.7109059311039,False
LEGACY-GRID,2,2,1,2,-579.7109059311032,-623.4809925656607,0,97,-579.7109059311032,False
LEGACY-GRID,1,2,3,2,-579.710905931103,-623.4809925656605,0,97,-579.710905931103,False
LEGACY-GRID,0,2,3,2,-579.7109059310956,-623.4809925656531,0,97,-579.7109059310956,False
LEGACY-GRID,2,1,3,1,-587.7040366618917,-623.749990360939,2,97,-577.7040366618917,False
LEGACY-GRID,1,3,2,3,-563.7148197269671,-615.0017835563239,0,96,-563.7148197269671,False
LEGACY-GRID,1,3,1,3,-563.7148197269652,-615.0017835563219,0,96,-563.7148197269652,False
LEGACY-GRID,0,3,2,3,-563.7148197269579,-615.0017835563146,0,96,-563.7148197269579,False
LEGACY-GRID,1,3,3,3,-561.1284004754888,-614.9797124963134,0,96,-561.1284004754888,False
LEGACY-GRID,2,3,3,3,-561.1284004754883,-614.9797124963129,0,96,-561.1284004754883,False
LEGACY-GRID,2,3,2,3,-561.128400475488,-614.9797124963126,0,96,-561.128400475488,False
LEGACY-GRID,2,3,1,3,-561.1284004754872,-614.9797124963118,0,96,-561.1284004754872,False
LEGACY-GRID,0,3,3,3,-561.1284004754825,-614.9797124963071,0,96,-561.1284004754825,False
LEGACY-GRID,0,2,1,2,-577.2481449423209,-615.8688096198716,4,97,-557.2481449423209,False
LEGACY-GRID,0,3,1,3,-555.1002731416114,-603.8228887795003,4,96,-535.1002731416114,False
ARDL-ECM,0,0,1,0,-524.6806681378462,-542.8465070887883,0,99,-524.6806681378462,
LEGACY-GRID,0,0,1,0,-524.6806681378462,-542.8465070887883,0,99,-524.6806681378462,False
ARDL-ECM,1,0,1,0,-514.4159978790473,-535.0957377084119,0,98,-514.4159978790473,
LEGACY-GRID,1,0,1,0,-514.4159978790473,-535.0957377084119,0,98,-514.4159978790473,False
ECT-lags,0,0,2,0,-513.9868303978318,-534.6665702271964,0,98,-513.9868303978318,
LEGACY-GRID,0,0,2,0,-513.9868303978318,-534.6665702271964,0,98,-513.9868303978318,False
ECT-lags,1,0,2,0,-509.9140123053622,-533.1787196133973,0,98,-509.9140123053622,
LEGACY-GRID,1,0,2,0,-509.9140123053622,-533.1787196133973,0,98,-509.9140123053622,False
ARDL-ECM,0,1,1,1,-509.73995568227,-533.0046629903052,0,98,-509.73995568227,
ARDL-ECM,2,0,1,0,-509.1587499283086,-532.3311487348391,0,97,-509.1587499283086,
LEGACY-GRID,2,0,1,0,-509.1587499283086,-532.3311487348391,0,97,-509.1587499283086,False
ECT-lags,0,1,2,1,-505.453140532888,-531.3028153195937,0,98,-505.453140532888,
ARDL-ECM,1,1,1,1,-505.4531405328878,-531.3028153195935,0,98,-505.4531405328878,
ECT-lags,1,1,2,1,-505.4531405328876,-531.3028153195933,0,98,-505.4531405328876,
LEGACY-GRID,2,0,2,0,-504.80853541249377,-530.5556451975276,0,97,-504.80853541249377,False
LEGACY-GRID,0,0,3,0,-504.0538472854907,-527.2262460920211,0,97,-504.0538472854907,False
ARDL-ECM,2,1,1,1,-500.25770926709293,-528.5795300306302,0,97,-500.25770926709293,
LEGACY-GRID,2,0,3,0,-500.25079602532895,-528.5726167888662,0,97,-500.25079602532895,False
LEGACY-GRID,1,0,3,0,-500.1848110219385,-525.9319208069724,0,97,-500.1848110219385,False
ARDL-ECM,0,2,1,2,-494.75903164685104,-523.0808524103883,0,97,-494.75903164685104,
ARDL-ECM,2,2,1,2,-491.40272171885476,-524.8739644393987,0,97,-491.40272171885476,
ECT-lags,0,2,2,2,-490.5130726621203,-521.4096044041609,0,97,-490.5130726621203,
ARDL-ECM,1,2,1,2,-490.51307266211995,-521.4096044041605,0,97,-490.51307266211995,
ECT-lags,1,2,2,2,-490.5130726621197,-521.4096044041603,0,97,-490.5130726621197,
