date,cpi_g7
1999-01-01,74.46351
1999-02-01,74.51509
1999-03-01,74.71091
1999-04-01,75.14624
1999-05-01,75.17754
1999-06-01,75.15484
1999-07-01,75.25466
1999-08-01,75.40373
1999-09-01,75.64594
1999-10-01,75.75298
1999-11-01,75.75098
1999-12-01,75.79308
2000-01-01,75.88612
2000-02-01,76.16035
2000-03-01,76.58482
2000-04-01,76.64635
2000-05-01,76.75039
2000-06-01,77.03245
2000-07-01,77.12221
2000-08-01,77.14474
2000-09-01,77.45032
2000-10-01,77.53104
2000-11-01,77.58342
2000-12-01,77.63924
2001-01-01,77.82333
2001-02-01,78.0655
2001-03-01,78.2016
2001-04-01,78.51991
2001-05-01,78.85354
2001-06-01,78.94075
2001-07-01,78.74792
2001-08-01,78.78349
2001-09-01,78.99284
2001-10-01,78.83243
2001-11-01,78.66158
2001-12-01,78.5824
2002-01-01,78.70213
2002-02-01,78.89944
2002-03-01,79.24632
2002-04-01,79.58649
2002-05-01,79.66801
2002-06-01,79.69097
2002-07-01,79.71666
2002-08-01,79.92887
2002-09-01,80.03381
2002-10-01,80.11356
2002-11-01,80.11404
2002-12-01,80.10799
2003-01-01,80.29165
2003-02-01,80.71786
2003-03-01,81.0889
2003-04-01,81.01643
2003-05-01,80.95943
2003-06-01,81.00749
2003-07-01,81.04853
2003-08-01,81.28493
2003-09-01,81.47894
2003-10-01,81.44693
2003-11-01,81.28707
2003-12-01,81.34057
2004-01-01,81.51911
2004-02-01,81.82914
2004-03-01,82.21793
2004-04-01,82.44136
2004-05-01,82.81203
2004-06-01,82.98886
2004-07-01,82.87947
2004-08-01,82.95699
2004-09-01,83.07779
2004-10-01,83.41228
2004-11-01,83.43177
2004-12-01,83.33482
2005-01-01,83.29122
2005-02-01,83.62933
2005-03-01,84.14314
2005-04-01,84.49611
2005-05-01,84.52438
2005-06-01,84.52462
2005-07-01,84.78731
2005-08-01,85.10024
2005-09-01,85.77254
2005-10-01,85.88004
2005-11-01,85.41965
2005-12-01,85.32919
2006-01-01,85.67134
2006-02-01,85.80792
2006-03-01,86.15199
2006-04-01,86.69836
2006-05-01,87.05491
2006-06-01,87.17975
2006-07-01,87.33085
2006-08-01,87.5445
2006-09-01,87.25648
2006-10-01,86.96751
2006-11-01,86.87165
2006-12-01,87.06661
2007-01-01,87.13505
2007-02-01,87.44016
2007-03-01,88.01836
2007-04-01,88.48291
2007-05-01,88.87614
2007-06-01,88.97694
2007-07-01,88.96424
2007-08-01,88.96899
2007-09-01,89.14072
2007-10-01,89.33069
2007-11-01,89.73724
2007-12-01,89.83665
2008-01-01,90.02679
2008-02-01,90.25603
2008-03-01,90.88265
2008-04-01,91.27304
2008-05-01,91.97357
2008-06-01,92.67117
2008-07-01,93.04218
2008-08-01,92.88533
2008-09-01,92.81984
2008-10-01,92.21647
2008-11-01,91.03433
2008-12-01,90.44048
2009-01-01,90.47887
2009-02-01,90.84435
2009-03-01,91.01346
2009-04-01,91.19259
2009-05-01,91.38212
2009-06-01,91.85603
2009-07-01,91.69426
2009-08-01,91.92886
2009-09-01,91.90961
2009-10-01,91.92625
2009-11-01,91.97223
2009-12-01,91.96233
2010-01-01,92.09273
2010-02-01,92.20623
2010-03-01,92.55493
2010-04-01,92.73603
2010-05-01,92.80185
2010-06-01,92.73135
2010-07-01,92.70542
2010-08-01,92.84856
2010-09-01,92.88328
2010-10-01,93.04171
2010-11-01,93.06668
2010-12-01,93.28648
2011-01-01,93.5253
2011-02-01,93.91898
2011-03-01,94.62987
2011-04-01,95.08887
2011-05-01,95.38234
2011-06-01,95.30842
2011-07-01,95.36787
2011-08-01,95.62065
2011-09-01,95.76485
2011-10-01,95.72484
2011-11-01,95.65139
2011-12-01,95.59941
2012-01-01,95.83575
2012-02-01,96.25111
2012-03-01,96.86318
2012-04-01,97.10653
2012-05-01,96.99979
2012-06-01,96.81816
2012-07-01,96.71012
2012-08-01,97.16649
2012-09-01,97.43716
2012-10-01,97.46214
2012-11-01,97.16294
2012-12-01,97.07588
2013-01-01,97.16553
2013-02-01,97.72943
2013-03-01,98.02403
2013-04-01,97.96268
2013-05-01,98.13296
2013-06-01,98.28355
2013-07-01,98.36351
2013-08-01,98.54623
2013-09-01,98.64491
2013-10-01,98.47961
2013-11-01,98.36734
2013-12-01,98.46033
2014-01-01,98.54898
2014-02-01,98.87909
2014-03-01,99.34985
2014-04-01,99.82752
2014-05-01,100.0795
2014-06-01,100.2128
2014-07-01,100.1846
2014-08-01,100.1795
2014-09-01,100.2128
2014-10-01,100.0259
2014-11-01,99.63853
2014-12-01,99.30679
2015-01-01,98.80353
2015-02-01,99.19649
2015-03-01,99.68893
2015-04-01,99.9462
2015-05-01,100.3414
2015-06-01,100.5121
2015-07-01,100.4862
2015-08-01,100.4715
